,ShoeName,Category,no_colors,price_reduce,price,count_of_sizes,color_black,color_blue,color_white,color_red,other_color,product_code,n_reviews,size,comfort,quality,star_rating,product_code2
24,Nike TC 7900,Women,2,90.97,120.0,15,1.0,0.0,1.0,0.0,brown,DD9682-102,21.0,34.0,77.0,46.52,4.4,DD9682-102
25,Nike V2K Run,Women,3,110.0,110.0,13,1.0,0.0,1.0,0.0,,FD0736-101,21.0,45.0,95.0,59.37,5.0,FD0736-101
26,"Air Jordan 4 Craft ""Olive""",Women,1,210.0,210.0,9,1.0,0.0,0.0,0.0,olive,FB9927-200,56.0,44.0,78.0,71.02,4.8,FB9927-200
27,Nike Vaporfly 3,Women,4,260.0,260.0,11,1.0,0.0,1.0,0.0,gold,FV3634-181,0.0,,,,0.0,FV3634-181
28,Nike Vomero 17,Women,6,160.0,160.0,14,1.0,1.0,1.0,0.0,gold,FB8502-100,24.0,46.0,96.0,79.28,4.8,FB8502-100
29,Nike Air Max 90,Women,13,119.97,140.0,9,1.0,1.0,1.0,1.0,pink,FB8455-001,2.0,50.0,75.0,75.0,5.0,FB8455-001
30,Nike Dunk Low,Women,1,97.97,115.0,3,0.0,0.0,1.0,1.0,orange,FQ8876-618,6.0,50.0,59.0,69.67,5.0,FQ8876-618
31,Nike Air Max 90 Futura,Women,8,150.0,150.0,15,1.0,1.0,1.0,1.0,green,DM9922-002,126.0,40.0,88.0,44.78,4.7,DM9922-002
32,Nike Dunk High,Women,2,130.0,130.0,15,1.0,0.0,1.0,1.0,gold,DD1869-103,518.0,52.0,88.0,47.89,4.8,DD1869-103
33,Nike Pegasus Shield,Women,3,145.0,145.0,15,1.0,0.0,1.0,0.0,green,DO7626-001,35.0,50.0,75.0,44.52,4.0,DO7626-001
34,Nike Winflo 10,Women,10,105.0,105.0,15,1.0,1.0,1.0,0.0,gold,DV4023-001,136.0,47.0,96.0,50.61,4.7,DV4023-001
35,Nike Motiva,Women,4,110.0,110.0,15,1.0,0.0,1.0,0.0,gold,DV1238-001,227.0,46.0,91.0,49.04,4.5,DV1238-001
36,Nike Free RN NN,Women,5,110.0,110.0,15,1.0,0.0,1.0,0.0,gold,DX6482-002,33.0,52.0,85.0,70.92,4.6,DX6482-002
37,Nike In-Season TR 13 PRM,Women,7,76.97,90.0,14,1.0,1.0,1.0,1.0,brown,FB7147-001,0.0,,,,0.0,FB7147-001
38,Nike SuperRep Go 3 NN PRM,Women,12,97.97,115.0,15,1.0,0.0,1.0,1.0,brown,FB7156-001,0.0,,,,0.0,FB7156-001
39,Nike Court Vision Alta,Women,4,67.97,90.0,15,1.0,1.0,1.0,0.0,pink,DM0113-102,216.0,48.0,52.0,34.72,4.3,DM0113-102
40,Nike Waffle Debut,Women,5,63.97,75.0,12,1.0,1.0,1.0,0.0,brown,DH9523-100,622.0,39.0,90.0,44.55,4.7,DH9523-100
41,Nike Pegasus Trail 4,Women,9,105.97,140.0,15,1.0,1.0,1.0,1.0,brown,DJ6159-002,315.0,44.0,92.0,47.77,4.7,DJ6159-002
42,Nike InfinityRN 4 GORE-TEX,Women,4,180.0,180.0,15,1.0,1.0,1.0,0.0,gold,FB2197-600,28.0,41.0,97.0,78.14,4.6,FB2197-600
43,Nike Air Force 1 '07,Women,5,115.0,115.0,13,1.0,0.0,1.0,0.0,green,DD8959-100,1855.0,66.0,81.0,49.47,4.8,DD8959-100
44,Nike Air Force 1 Shadow,Women,14,135.0,135.0,14,1.0,1.0,1.0,1.0,brown,CI0919-100,899.0,54.0,88.0,71.0,4.8,CI0919-100
45,Nike Pegasus Trail 4 GORE-TEX,Women,10,160.0,160.0,14,1.0,1.0,1.0,1.0,brown,DJ7929-001,143.0,45.0,89.0,48.63,4.5,DJ7929-001
46,Nike Alphafly 2,Women,4,285.0,285.0,13,1.0,0.0,1.0,0.0,green,DN3559-003,152.0,36.0,77.0,41.61,4.4,DN3559-003
47,Nike Blazer Low Platform,Women,4,100.0,100.0,15,1.0,1.0,1.0,0.0,brown,DJ0292-101,333.0,,,,4.5,DJ0292-101
48,Nike Cortez,Women,5,90.0,90.0,15,1.0,1.0,1.0,1.0,green,DN1791-100,57.0,37.0,84.0,45.01,4.5,DN1791-100
49,Nike Kiger 9,Women,7,120.97,160.0,15,1.0,1.0,1.0,1.0,brown,DR2694-500,104.0,48.0,88.0,46.29,4.6,DR2694-500
50,Nike Wildhorse 8,Women,5,119.97,140.0,13,1.0,1.0,1.0,0.0,brown,DR2689-601,73.0,51.0,96.0,54.94,4.6,DR2689-601
51,Nike Juniper Trail 2 GORE-TEX,Women,3,110.97,130.0,14,1.0,0.0,1.0,0.0,purple,FB2065-500,22.0,38.0,76.0,66.79,4.1,FB2065-500
52,Nike Zegama,Women,7,127.97,170.0,15,1.0,1.0,1.0,1.0,brown,DH0625-500,71.0,47.0,95.0,56.25,4.8,DH0625-500
53,Nike Calm,Women,4,37.97,50.0,5,1.0,0.0,0.0,0.0,orange,DX4816-200,73.0,37.0,86.0,53.33,4.5,DX4816-200
54,Nike Air Huarache Craft,Women,6,97.97,130.0,15,1.0,0.0,1.0,0.0,brown,DQ8031-201,108.0,46.0,92.0,49.7,4.3,DQ8031-201
55,Nike SuperRep 4 NN Premium,Women,5,127.97,150.0,15,1.0,0.0,1.0,1.0,purple,FB7154-001,2.0,50.0,50.0,50.0,3.5,FB7154-001
56,Nike MC Trainer 2,Women,3,68.97,80.0,15,1.0,0.0,1.0,1.0,green,DM0824-003,46.0,44.0,63.0,38.57,4.3,DM0824-003
57,Nike Air VaporMax Plus,Women,8,210.0,210.0,15,1.0,1.0,1.0,0.0,green,FQ8895-100,2.0,50.0,100.0,83.33,5.0,FQ8895-100
58,Nike Air Max Plus,Women,4,157.97,185.0,15,1.0,1.0,1.0,0.0,orange,FV0952-100,1.0,50.0,50.0,50.0,1.0,FV0952-100
59,Nike Air Force 1 '07,Women,1,106.97,125.0,15,1.0,0.0,1.0,0.0,,FB8251-100,26.0,58.0,88.0,79.44,4.6,FB8251-100
60,Nike Burrow,Women,3,51.97,60.0,4,1.0,0.0,1.0,1.0,,FJ6041-600,8.0,25.0,82.0,60.67,3.9,FJ6041-600
61,Chuck Taylor All Star Lift Platform Canvas,Women,1,75.0,75.0,4,1.0,0.0,0.0,0.0,,560845F-001,316.0,50.0,75.0,41.88,4.8,560845F-001
62,Chuck Taylor All Star Lift Platform Canvas,Women,1,75.0,75.0,3,0.0,0.0,1.0,0.0,,560846F-102,1613.0,,,,4.8,560846F-102
63,Nike Air Force 1 '07,Women,6,110.0,110.0,4,1.0,1.0,1.0,1.0,purple,FD1448-664,9.0,56.0,84.0,68.89,4.9,FD1448-664
64,Air Jordan 1 Low,Women,6,115.0,115.0,11,1.0,0.0,1.0,1.0,orange,DC0774-080,411.0,52.0,80.0,47.08,4.8,DC0774-080
65,Air Jordan 1 Elevate Low,Women,16,81.97,135.0,4,1.0,1.0,1.0,1.0,green,DH7004-600,80.0,62.0,74.0,50.33,4.7,DH7004-600
66,Air Jordan 1 Mid,Women,9,125.0,125.0,3,1.0,1.0,1.0,1.0,green,BQ6472-414,988.0,50.0,80.0,44.65,4.9,BQ6472-414
67,Nike Dunk Low,Women,2,115.0,115.0,13,0.0,0.0,1.0,0.0,rose,DD1503-118,617.0,49.0,78.0,44.66,4.8,DD1503-118
68,Air Jordan 1 Elevate High,Women,6,87.97,145.0,2,1.0,1.0,1.0,1.0,gold,DN3253-061,60.0,47.0,72.0,48.56,4.3,DN3253-061
69,Nike Court Vision Alta,Women,4,68.97,85.0,10,1.0,0.0,1.0,0.0,gold,CW6536-600,106.0,35.0,77.0,43.94,4.4,CW6536-600
70,Nike Air Max Correlate,Women,3,100.0,100.0,15,1.0,0.0,1.0,0.0,purple,511417-136,82.0,42.0,80.0,47.17,4.7,511417-136
71,Air Jordan 1 Low SE,Women,3,72.97,120.0,5,1.0,0.0,0.0,0.0,gold,DV0426-200,29.0,45.0,84.0,55.64,4.8,DV0426-200
72,Nike Air Force 1 '07 Premium,Women,3,110.97,130.0,3,0.0,1.0,1.0,0.0,brown,DZ2786-400,8.0,50.0,93.0,72.67,4.3,DZ2786-400
73,Nike Air Force 1 '07 Next Nature,Women,4,97.97,115.0,7,1.0,0.0,1.0,0.0,orange,DC9486-100,125.0,53.0,79.0,44.53,4.8,DC9486-100
74,Nike Dunk Low,Women,1,106.97,125.0,8,1.0,0.0,0.0,0.0,brown,FQ8893-397,22.0,53.0,80.0,77.67,5.0,FQ8893-397
75,Air Jordan 1 Mid SE,Women,6,81.97,135.0,2,1.0,0.0,1.0,1.0,purple,DV1302-100,54.0,,,,4.7,DV1302-100
76,Air Jordan 1 Low SE,Women,1,125.0,125.0,2,0.0,1.0,1.0,0.0,,FV3623-151,2.0,50.0,100.0,83.33,5.0,FV3623-151
77,Nike Dunk High 1985,Women,2,77.97,140.0,6,0.0,0.0,1.0,0.0,green,DV1143-800,46.0,10.0,54.0,32.2,3.9,DV1143-800
78,Nike Free Metcon 4,Women,3,120.0,120.0,8,1.0,1.0,1.0,0.0,green,CZ0596-010,527.0,32.0,89.0,41.91,4.6,CZ0596-010
79,Nike Revolution 6,Women,2,46.97,70.0,11,1.0,1.0,1.0,0.0,pink,DC3729-003,491.0,28.0,78.0,36.62,4.4,DC3729-003
80,Nike Waffle Debut Vintage,Women,4,64.97,80.0,4,0.0,0.0,1.0,0.0,brown,DX2931-400,40.0,43.0,93.0,52.83,4.6,DX2931-400
81,Air Jordan 1 Zoom CMFT 2,Women,5,127.97,150.0,8,1.0,1.0,1.0,1.0,green,DV1305-001,35.0,50.0,83.0,62.43,4.3,DV1305-001
82,Air Jordan 1 Mid,Women,2,106.97,125.0,8,1.0,1.0,1.0,1.0,,DQ8426-106,562.0,51.0,84.0,54.49,4.9,DQ8426-106
83,Nike Air Force 1 High,Women,3,62.97,125.0,3,0.0,1.0,1.0,1.0,brown,DZ7338-001,9.0,50.0,95.0,52.04,5.0,DZ7338-001
84,Nike Air Force 1 PLT.AF.ORM,Women,8,120.0,120.0,14,1.0,1.0,1.0,0.0,brown,DJ9946-100,233.0,53.0,91.0,49.29,4.8,DJ9946-100
85,Nike Revolution 5,Women,1,60.0,60.0,12,1.0,0.0,1.0,0.0,,BQ3207-002,1973.0,48.0,85.0,44.59,4.6,BQ3207-002
86,Nike Free RN 2018,Women,3,70.97,100.0,15,1.0,0.0,1.0,0.0,,942837-001,543.0,,,,4.6,942837-001
87,Air Jordan 1 Mid,Women,1,125.0,125.0,2,1.0,0.0,1.0,0.0,,DV0991-101,39.0,50.0,85.0,50.98,4.9,DV0991-101
88,Nike Court Royale 2,Women,1,51.97,60.0,5,0.0,0.0,1.0,0.0,,DH3159-100,4.0,50.0,100.0,66.67,4.0,DH3159-100
89,Air Jordan 1 Mid SE,Women,2,135.0,135.0,5,0.0,0.0,1.0,1.0,gold,FB9892-670,19.0,50.0,100.0,57.02,5.0,FB9892-670
90,Nike Calm,Women,2,60.0,60.0,3,0.0,0.0,0.0,0.0,green,FD5130-200,8.0,32.0,88.0,73.33,4.8,FD5130-200
91,Air Jordan 1 Low,Women,3,115.0,115.0,5,1.0,0.0,1.0,0.0,green,553558-136,1598.0,50.0,79.0,45.98,4.9,553558-136
92,Air Jordan 1 Mid,Women,3,125.0,125.0,12,1.0,0.0,1.0,1.0,,554724-136,2967.0,50.0,78.0,42.8,4.9,554724-136
93,"Air Jordan 1 High OG ""Mauve""",Women,1,180.0,180.0,15,0.0,0.0,1.0,0.0,,DZ5485-105,830.0,50.0,80.0,48.31,4.9,DZ5485-105
94,Air Jordan 1 Low SE Craft,Women,1,125.0,125.0,9,1.0,0.0,0.0,0.0,olive,FD6819-300,36.0,50.0,88.0,56.19,4.8,FD6819-300
95,Air Jordan XXXVII Low,Women,3,96.97,175.0,3,1.0,0.0,1.0,1.0,gold,DQ4122-100,53.0,33.0,75.0,48.58,4.4,DQ4122-100
96,LeBron Witness 6,Women,8,73.97,105.0,10,1.0,1.0,1.0,1.0,green,CZ4052-101,401.0,43.0,82.0,44.24,4.7,CZ4052-101
97,Air Jordan 1 Zoom CMFT 2,Women,7,90.97,150.0,8,1.0,1.0,1.0,0.0,brown,DV1307-100,87.0,51.0,94.0,69.02,4.8,DV1307-100
98,Air Jordan 1 Mid SE,Women,1,87.97,135.0,3,1.0,0.0,1.0,0.0,,DX4332-800,49.0,54.0,82.0,61.66,4.9,DX4332-800
99,Nike Celso Girl,Women,1,19.97,26.0,8,1.0,0.0,1.0,0.0,,314870-011,287.0,52.0,97.0,50.71,4.8,314870-011
100,Air Jordan 1 Retro High OG,Women,1,180.0,180.0,15,0.0,0.0,1.0,0.0,,FN6622-201,40.0,,,,4.7,FN6622-201
101,"Air Jordan 13 ""Wheat""",Women,1,200.0,200.0,20,0.0,0.0,1.0,0.0,,414571-171,1475.0,52.0,84.0,46.21,4.9,414571-171
102,"Air Jordan 8 ""Winterized""",Women,1,210.0,210.0,12,1.0,0.0,1.0,0.0,,FD1334-001,9.0,50.0,84.0,78.0,4.8,FD1334-001
103,Air Jordan 1 Element,Women,2,170.97,200.0,14,1.0,0.0,0.0,0.0,purple,DB2889-501,95.0,50.0,89.0,50.54,4.6,DB2889-501
104,"Air Jordan 3 ""Fear""",Women,2,210.0,210.0,9,1.0,1.0,1.0,0.0,orange,CT8532-080,533.0,49.0,86.0,51.32,4.9,CT8532-080
105,Dunk High Warped Unlocked By You Greatest Gift,Women,1,165.0,165.0,15,0.0,0.0,0.0,0.0,,FZ4653-900,,,,,,FZ4653-900
106,"Air Jordan 1 High OG ""Royal Reimagined""",Women,1,180.0,180.0,20,1.0,1.0,1.0,0.0,,DZ5485-042,830.0,50.0,80.0,48.31,4.9,DZ5485-042
107,"Tatum 1 ""Wave Runner""",Women,2,120.0,120.0,5,1.0,0.0,1.0,0.0,purple,FV0169-400,17.0,50.0,59.0,40.25,3.3,FV0169-400
108,"Jordan Why Not .6 ""Childhood""",Women,3,105.97,150.0,7,1.0,1.0,1.0,1.0,gold,DO7189-100,30.0,47.0,87.0,53.56,4.8,DO7189-100
109,"Air Jordan 1 Low OG ""White/Red""",Women,1,140.0,140.0,19,1.0,0.0,1.0,1.0,,CZ0790-161,675.0,53.0,77.0,69.01,4.8,CZ0790-161
110,"Sabrina 1 ""Grounded""",Women,5,110.97,130.0,12,1.0,1.0,1.0,0.0,purple,FQ3381-002,99.0,41.0,81.0,57.84,4.7,FQ3381-002
111,"Luka 2 ""Trick Shot""",Women,3,130.0,130.0,13,1.0,0.0,1.0,0.0,purple,DX8733-103,48.0,55.0,88.0,52.53,4.7,DX8733-103
112,LeBron Witness 7,Women,6,64.97,105.0,9,1.0,1.0,1.0,0.0,purple,DM1123-100,280.0,40.0,96.0,48.55,4.8,DM1123-100
113,Giannis Immortality 2,Women,8,72.97,85.0,15,1.0,1.0,1.0,0.0,brown,DM0825-101,469.0,46.0,83.0,44.56,4.7,DM0825-101
114,"LeBron XXI ""Tahitian""",Women,4,150.97,200.0,25,1.0,0.0,1.0,1.0,purple,FB2238-001,27.0,34.0,86.0,68.4,4.4,FB2238-001
115,LeBron NXXT Gen,Women,9,127.97,170.0,25,1.0,1.0,1.0,1.0,brown,DR8784-301,191.0,42.0,93.0,52.85,4.8,DR8784-301
116,"Ja 1 ""Fly""",Women,5,102.97,120.0,7,1.0,1.0,1.0,1.0,green,DR8785-002,252.0,38.0,75.0,44.41,4.5,DR8785-002
117,Nike SB React Leo,Women,4,95.0,95.0,19,1.0,0.0,1.0,0.0,brown,DX4361-001,13.0,50.0,88.0,74.21,4.8,DX4361-001
118,Nike SB Zoom Janoski OG+,Women,3,95.0,95.0,10,0.0,0.0,0.0,1.0,green,DV5475-300,9.0,38.0,88.0,56.81,4.7,DV5475-300
119,Nike Zoom Superfly Elite 2,Women,2,160.0,160.0,21,1.0,1.0,1.0,0.0,pink,CD4382-400,30.0,17.0,90.0,37.89,4.9,CD4382-400
120,Nike Air Max 95 Unlocked By You,Women,6,215.0,215.0,15,0.0,0.0,0.0,0.0,,DX5388-900,,,,,,DX5388-900
121,Nike Ultrafly,Women,2,260.0,260.0,15,1.0,0.0,1.0,0.0,orange,DZ0489-101,26.0,,,,4.8,DZ0489-101
122,Nike Zoom Superfly Elite 2,Women,1,160.0,160.0,21,1.0,0.0,0.0,0.0,pink,CD4382-600,30.0,17.0,90.0,37.89,4.9,CD4382-600
123,Nike Elevate 3,Women,6,63.97,85.0,25,1.0,1.0,1.0,1.0,brown,DD9304-602,171.0,40.0,78.0,41.09,4.5,DD9304-602
124,Nike P-6000 Premium,Women,3,90.97,120.0,17,1.0,1.0,1.0,0.0,khaki,FQ8732-010,6.0,50.0,100.0,83.33,5.0,FQ8732-010
125,Nike Renew Elevate 3,Women,2,80.0,80.0,10,1.0,0.0,1.0,0.0,pink,FQ8971-600,2.0,50.0,75.0,75.0,4.0,FQ8971-600
126,Freak 5 (Team),Women,5,119.97,140.0,26,1.0,0.0,1.0,1.0,,DZ2946-100,1.0,50.0,100.0,83.33,3.0,DZ2946-100
127,"LeBron 20 ""Time Machine""",Women,8,200.0,200.0,2,1.0,1.0,1.0,1.0,purple,DJ5423-300,201.0,39.0,92.0,45.16,4.8,DJ5423-300
128,Nike Huarache 9 Varsity LAX SE,Women,1,95.0,95.0,19,1.0,0.0,1.0,0.0,green,FZ3620-001,0.0,,,,0.0,FZ3620-001
129,Nike SB Zoom Blazer Mid,Women,3,67.97,90.0,20,0.0,1.0,1.0,1.0,green,864349-302,55.0,46.0,84.0,48.18,4.6,864349-302
130,Nike Invincible 3 By You,Women,6,210.0,210.0,14,1.0,1.0,1.0,1.0,green,DX5051-400,,,,,,DX5051-400
131,Nike Free Run 2018,Women,3,101.97,120.0,10,1.0,1.0,1.0,1.0,,942839-600,351.0,39.0,91.0,44.19,4.6,942839-600
132,KD16,Women,6,127.97,150.0,17,1.0,0.0,1.0,1.0,purple,DV2917-401,39.0,46.0,87.0,52.03,4.4,DV2917-401
133,Nike Cortez Platform Unlocked By You Greatest Gift,Women,3,130.0,130.0,23,0.0,0.0,0.0,0.0,,FQ7223-900,,,,,,FQ7223-900
134,Nike Court Vintage Premium,Women,1,80.0,80.0,1,0.0,0.0,1.0,0.0,,CW7586-100,9.0,50.0,100.0,61.11,5.0,CW7586-100
135,Nike Shox TL,Women,2,170.0,170.0,0,0.0,0.0,0.0,0.0,,,,,,,,
136,Nike Air Max Bliss SE,Women,6,82.97,140.0,2,1.0,0.0,1.0,1.0,,FB9752-100,15.0,50.0,75.0,52.78,4.6,FB9752-100
137,Nike Air Force 1 Low By You,Women,12,135.0,135.0,15,0.0,0.0,0.0,0.0,,DV3907-900,,,,,,DV3907-900
138,Nike City Classic,Women,3,106.97,125.0,13,1.0,0.0,1.0,0.0,brown,DQ5601-003,20.0,61.0,95.0,63.67,4.6,DQ5601-003
139,Nike Air Max 1 '87 By You,Women,7,180.0,180.0,22,0.0,0.0,0.0,0.0,,FJ8893-900,,,,,,FJ8893-900
140,Nike Hyperdiamond 4 Pro,Women,9,80.0,80.0,15,1.0,1.0,1.0,1.0,,CZ5920-400,37.0,,,,4.5,CZ5920-400
141,Nike Blazer Low '77 Jumbo,Women,4,100.0,100.0,15,1.0,0.0,1.0,0.0,pink,DQ1470-002,133.0,,,,4.4,DQ1470-002
142,Nike Dunk Low Unlocked By You,Women,7,160.0,160.0,22,0.0,0.0,0.0,0.0,,FJ2253-901,,,,,,FJ2253-901
143,Jumpman Two Trey,Women,7,131.97,155.0,6,1.0,1.0,1.0,1.0,orange,DR9631-801,127.0,61.0,87.0,51.43,4.8,DR9631-801
144,Nike Air Max 1 '87 Premium,Women,1,160.0,160.0,0,0.0,0.0,0.0,0.0,,,,,,,,
145,NikeCourt Air Zoom NXT,Women,4,140.0,140.0,2,1.0,0.0,1.0,1.0,green,DV3282-103,2.0,50.0,100.0,83.33,5.0,DV3282-103
146,Nike Elevate 2,Women,1,40.97,80.0,0,1.0,0.0,1.0,0.0,,CW3406-004,66.0,29.0,70.0,49.5,4.2,CW3406-004
147,Air Jordan 1 Low FlyEase,Women,1,84.97,130.0,3,0.0,0.0,1.0,0.0,gold,DM1206-174,26.0,52.0,88.0,69.74,4.7,DM1206-174
148,Nike Rival Sprint,Women,4,75.0,75.0,27,1.0,1.0,1.0,0.0,pink,DC8753-100,83.0,25.0,50.0,25.4,4.6,DC8753-100
149,Nike Air Max 95 By You,Women,8,190.0,190.0,15,0.0,0.0,0.0,0.0,,314352-998,,,,,,314352-998
150,Nike Air Zoom Victory,Women,5,190.0,190.0,21,1.0,1.0,1.0,1.0,purple,CD4385-400,21.0,61.0,90.0,75.5,4.2,CD4385-400
151,Nike Internationalist By You,Women,7,110.0,110.0,15,0.0,0.0,0.0,0.0,,CW7637-991,,,,,,CW7637-991
152,Nike Air Max Thea,Women,1,72.97,120.0,15,0.0,1.0,1.0,0.0,,FJ9302-104,53.0,27.0,57.0,28.63,3.9,FJ9302-104
153,Converse x TURBODRK Chuck 70 Laceless,Women,1,170.0,170.0,15,0.0,0.0,0.0,0.0,,A03938C-206,0.0,,,,0.0,A03938C-206
154,Nike Go FlyEase,Women,2,125.0,125.0,9,1.0,0.0,1.0,0.0,,DR5540-102,30.0,43.0,96.0,49.67,4.4,DR5540-102
155,Nike Air Huarache By You,Women,7,130.0,130.0,14,0.0,0.0,0.0,0.0,,FD9782-900,,,,,,FD9782-900
156,Nike Air Max Bella TR 5,Women,7,90.0,90.0,15,1.0,1.0,1.0,0.0,pink,DD9285-400,233.0,53.0,83.0,47.77,4.5,DD9285-400
157,Nike Air Force 1 '07 LX,Women,11,72.97,120.0,0,1.0,1.0,1.0,1.0,green,DO9456-100,1.0,50.0,100.0,75.0,5.0,DO9456-100
158,KD Trey 5 IX,Women,1,95.0,95.0,3,1.0,0.0,1.0,1.0,,CW3400-001,275.0,48.0,87.0,46.33,4.8,CW3400-001
159,Nike Blazer Mid Premium,Women,4,87.97,125.0,15,0.0,0.0,1.0,0.0,brown,DQ7572-200,19.0,44.0,69.0,48.19,4.4,DQ7572-200
160,Nike Air Force 1 '07,Women,1,106.97,125.0,15,0.0,0.0,1.0,0.0,,FQ8887-100,1.0,50.0,100.0,83.33,5.0,FQ8887-100
161,Nike G.T. Hustle 2,Women,5,127.97,170.0,25,1.0,0.0,1.0,1.0,green,DJ9405-302,19.0,50.0,87.0,73.74,4.5,DJ9405-302
162,Nike Blazer Low '77 By You,Women,6,115.0,115.0,15,0.0,0.0,0.0,0.0,,DZ2653-900,,,,,,DZ2653-900
163,Nike Air Presto,Women,2,99.97,130.0,2,1.0,0.0,1.0,0.0,green,DV2228-300,13.0,,,,4.4,DV2228-300
164,Nike Icon Classic,Women,3,55.97,65.0,1,1.0,0.0,1.0,0.0,gold,DH0224-200,239.0,38.0,92.0,44.45,4.4,DH0224-200
165,Nike Metcon 8,Women,4,110.97,130.0,2,1.0,0.0,1.0,0.0,,DO9327-102,99.0,43.0,80.0,44.37,4.6,DO9327-102
166,Nike Offcourt,Women,1,34.97,40.0,1,1.0,0.0,1.0,0.0,pink,BQ4632-002,442.0,41.0,97.0,46.45,4.7,BQ4632-002
167,Nike Pegasus 40 By You,Women,14,160.0,160.0,15,0.0,0.0,0.0,0.0,,FB2383-900,,,,,,FB2383-900
168,Nike Air Huarache Craft By You,Women,6,160.0,160.0,15,0.0,0.0,0.0,0.0,,FB2391-900,,,,,,FB2391-900
169,NikeCourt Air Zoom Pro,Women,5,85.97,100.0,3,1.0,0.0,1.0,1.0,green,DV3285-300,8.0,,,,4.0,DV3285-300
170,Nike Tanjun,Women,3,59.97,70.0,15,1.0,0.0,1.0,1.0,,DJ6257-004,400.0,33.0,73.0,36.0,4.4,DJ6257-004
